id,area_m2,habitaciones,banos,antiguedad_anos,distancia_centro_km,calificacion_vecindario,precio_usd
88,166.44,1,1,6.0,4.05,6.7,239703.29
89,123.51,5,2,9.5,18.73,5.0,251649.0
90,175.66,6,3,20.5,18.36,8.0,342240.63
91,154.85,4,4,30.8,4.06,6.4,263077.8
92,198.43,4,3,8.5,10.04,6.4,285877.81
93,114.9,2,4,0.7,8.41,6.9,211450.15
94,133.62,6,4,2.6,16.26,6.6,259958.96
95,130.39,5,1,0.3,4.42,6.5,226137.54
96,76.82,3,2,15.9,12.48,5.1,165037.77
97,164.81,1,3,6.1,11.42,6.8,208892.92
98,163.05,2,1,11.7,11.93,8.1,207483.68
99,150.26,4,3,10.2,10.45,7.4,284759.87
100,138.27,3,4,1.3,3.78,8.4,283947.1
101,79.23,3,2,7.7,12.93,5.9,181808.01
102,128.97,1,3,3.7,13.1,5.1,220081.17
103,132.86,6,3,8.1,9.87,6.6,305910.83
104,109.89,4,4,3.4,8.24,6.1,286136.13
105,141.94,5,3,27.5,19.44,6.2,235181.61
106,170.2,3,3,2.9,19.32,7.3,297535.44
107,244.31,1,4,48.6,6.15,6.2,280539.21
108,158.73,5,1,8.1,10.88,5.1,262131.18
109,162.88,6,4,28.1,4.69,6.2,348027.18
110,146.28,4,1,14.9,5.84,7.5,226388.73
111,54.06,6,2,19.9,8.72,8.0,247583.63
112,148.67,3,1,21.9,6.73,8.0,222094.8
113,153.01,5,1,10.5,4.04,7.6,243240.2
114,273.16,5,2,11.8,4.18,6.7,401805.99
115,140.38,5,1,10.8,4.18,7.6,256119.14
116,165.08,3,4,13.3,3.82,6.9,337681.67
117,148.26,3,1,0.4,1.77,7.2,244414.7
118,91.57,6,2,7.6,8.88,5.6,243309.61
119,207.14,2,4,14.0,7.2,7.1,250943.22
120,187.6,6,2,13.7,1.75,7.6,357648.63
121,189.55,4,2,23.6,12.49,7.5,249568.05
122,104.53,1,3,16.0,7.28,5.1,185462.23
123,220.14,5,3,50.0,6.89,7.1,290064.51
124,79.91,2,2,5.0,15.13,4.8,121540.81
125,179.34,1,2,6.7,6.29,7.3,248739.55
126,259.52,2,2,7.3,10.17,5.9,312427.71
127,100.47,6,3,9.4,7.98,9.6,296848.4
128,121.69,3,3,27.1,5.57,7.2,254216.88
129,154.98,5,1,4.0,3.84,8.2,343418.1
130,124.83,6,1,22.4,4.61,10.0,291382.09
131,72.47,1,2,7.8,7.22,5.8,153770.75
132,153.43,1,4,13.8,14.05,7.7,192105.01
133,96.88,1,4,15.0,1.22,5.2,195025.33
134,173.68,1,3,7.0,3.07,7.5,263940.17
135,104.03,1,3,10.8,11.02,9.6,189803.24
136,227.5,2,3,8.0,10.15,6.1,312609.0
137,110.84,6,2,1.1,4.4,5.7,297114.17
138,133.9,5,4,8.6,7.41,6.9,259829.06
139,190.68,3,1,1.5,14.83,10.0,253294.47
140,88.46,3,2,7.8,6.61,8.2,202679.22
141,161.37,6,1,13.5,9.15,5.6,258587.06
142,215.36,6,1,13.0,7.93,9.2,283645.67
143,69.63,3,2,16.3,17.47,4.5,127885.58
144,159.23,3,1,1.5,18.53,10.0,213778.46
145,162.99,2,4,15.8,9.42,8.3,288208.55
146,189.09,4,1,5.6,9.88,9.6,344204.56
147,88.15,5,4,7.6,4.56,4.5,214962.14
148,83.98,1,4,29.3,8.43,7.3,171180.53
149,176.1,4,4,0.1,11.56,6.8,327974.72
150,164.85,6,3,13.3,4.39,5.5,261381.52
151,162.52,3,1,13.7,8.58,5.1,233144.93
152,167.32,4,2,7.6,15.93,7.8,329904.87
153,116.0,5,2,4.1,5.94,7.9,279043.54
154,161.61,6,1,4.0,4.64,8.9,303124.84
155,164.65,1,3,32.3,7.04,6.2,199746.91
156,114.28,1,3,8.8,15.98,6.8,143320.07
157,243.29,5,4,6.0,5.01,4.9,385536.64
158,173.69,5,1,8.9,3.61,9.3,363640.42
159,90.43,3,1,16.6,10.92,7.1,160234.82
160,182.83,1,2,2.4,22.54,8.1,180842.35
161,101.27,6,1,9.0,1.97,8.1,241621.88
162,189.35,4,3,13.3,12.52,9.2,325456.44
163,207.93,6,1,44.5,6.74,5.8,274807.79
164,108.97,2,2,4.4,6.09,8.0,193563.03
165,198.17,2,4,6.7,8.45,7.0,290331.1
166,170.64,5,2,7.2,5.59,10.0,320361.56
167,191.1,3,2,14.0,13.58,5.7,220044.82
168,244.84,2,4,6.6,4.49,8.8,336592.66
169,137.73,1,2,11.4,15.0,7.5,181852.07
170,112.31,6,2,22.8,9.94,7.4,228710.21
171,105.52,6,1,18.3,5.34,7.1,216312.77
172,109.21,5,1,8.9,10.07,9.0,260912.41
173,146.14,4,4,30.0,4.78,7.4,247345.28
174,167.06,5,1,12.3,5.78,4.7,214850.96
175,163.83,4,1,11.6,11.06,8.8,268357.0
176,191.36,5,2,0.5,3.28,8.6,357977.82
177,150.65,5,3,50.0,4.0,7.9,236463.56
178,222.68,5,1,2.0,9.43,5.3,300997.96
179,136.77,4,3,3.9,12.15,5.5,232720.64
180,286.01,4,1,0.8,8.68,4.2,339391.06
181,181.28,5,1,15.3,8.57,7.7,317682.07
182,107.14,2,4,3.8,5.41,5.0,213487.22
183,96.46,3,4,3.0,19.03,4.4,209453.83
184,174.12,3,4,1.4,10.4,8.9,267932.0
185,138.83,3,3,1.6,3.4,8.2,258080.0
186,185.7,4,2,13.2,12.57,6.5,298770.58
187,173.66,4,1,17.5,11.43,6.8,232235.26
188,146.36,2,1,7.6,6.54,3.4,223930.67
189,107.66,3,1,9.8,5.13,8.4,199564.34
190,74.26,3,3,17.4,10.53,6.0,170126.74
191,127.67,5,4,0.3,4.01,7.5,345819.93
192,192.82,4,2,5.9,6.95,3.3,268596.42
193,160.7,3,3,50.0,5.43,8.5,238455.89
194,87.71,6,4,13.0,5.43,5.9,271412.6
195,158.66,2,3,4.4,7.09,4.9,248522.91
196,169.27,6,2,11.1,9.8,6.5,304785.15
197,105.81,6,4,6.3,9.13,6.1,269094.93
198,157.69,2,3,11.4,12.99,8.6,210335.26
199,152.91,6,2,2.0,9.82,6.4,302710.79
200,92.85,3,1,2.1,2.53,9.0,201386.52
201,167.89,4,2,2.3,2.85,7.5,316562.78
202,178.04,2,1,42.2,6.89,8.3,248145.08
203,204.15,5,3,19.8,3.99,7.0,266747.86
204,202.69,6,4,2.7,7.76,8.9,419140.24
205,81.12,2,4,3.1,6.61,5.3,186887.92
206,103.11,1,3,19.7,10.06,7.2,171267.13
207,175.75,1,4,2.5,5.05,6.4,240804.14
208,175.69,4,4,4.0,12.88,9.1,312020.28
209,175.75,3,1,49.6,10.68,9.2,222367.65
210,300.0,4,3,4.4,22.75,7.0,404397.14
211,178.54,4,2,16.3,13.56,5.1,235883.79
212,206.78,4,1,50.0,2.74,7.6,312681.43
213,197.7,4,3,7.0,6.78,4.5,320022.54
214,182.57,5,1,0.3,2.23,9.4,326475.76
215,134.24,5,2,4.2,10.88,6.3,253225.06
216,187.95,2,2,26.7,12.24,7.0,226827.71
217,111.36,1,3,30.0,4.4,6.0,170963.02
218,138.16,4,2,21.9,3.45,5.6,243957.37
219,125.73,2,1,1.8,3.24,8.1,218170.86
220,154.09,1,2,23.8,15.73,6.8,174847.72
221,265.73,6,1,37.6,8.58,7.1,349100.42
222,56.64,3,1,13.8,12.94,5.5,126573.22
223,184.31,5,2,42.4,5.09,8.3,290332.43
224,69.36,6,3,26.3,4.66,8.4,226879.18
225,126.4,1,4,16.5,4.98,6.7,227946.33
226,204.45,6,2,12.9,5.74,8.9,377668.06
227,153.21,3,1,6.4,8.14,6.8,262726.44
228,96.11,1,1,2.6,5.72,8.2,184377.02
229,114.23,6,2,13.9,9.24,4.6,252319.13
230,183.98,5,3,5.7,6.24,7.5,311224.72
231,113.48,5,3,30.2,4.4,6.6,255995.52
232,160.82,2,1,50.0,7.63,7.2,204558.21
233,152.28,6,1,20.9,11.53,7.2,222331.54
234,117.42,4,3,1.4,4.65,7.2,268968.11
235,257.2,6,4,5.1,10.06,7.9,454892.35
236,181.7,1,2,1.7,7.03,6.2,236593.28
237,50.0,1,1,15.8,2.12,7.9,126536.21
238,159.32,6,1,21.7,13.32,8.8,261859.38
239,116.91,3,3,39.0,6.99,4.9,161392.77
240,192.62,5,2,8.6,12.64,5.8,298027.66
241,110.37,1,3,34.7,9.05,5.9,160387.8
242,144.26,5,2,31.5,2.88,5.4,254846.68
243,175.25,1,2,5.7,1.0,6.3,259270.38
244,193.29,2,2,30.5,3.2,8.5,239706.73
245,89.99,4,1,7.1,1.0,9.2,235029.07
246,133.27,1,4,5.3,9.55,7.2,232917.74
247,126.25,5,3,15.7,9.5,6.5,241465.2
248,117.33,2,4,6.0,2.79,8.2,253561.23
249,238.27,1,3,14.9,6.55,3.5,277091.76
250,170.25,3,2,14.1,12.79,5.4,223529.41
251,86.96,4,1,12.4,5.47,3.5,188967.39
252,195.89,1,4,7.2,14.24,5.4,245703.49
253,256.11,2,1,11.9,8.43,5.8,315932.15
254,201.62,3,3,13.6,6.65,9.2,298169.33
255,74.03,6,1,11.8,8.57,2.9,169456.24
256,125.79,2,1,8.8,6.32,6.4,206411.58
257,213.35,2,4,0.2,3.66,7.9,330182.78
258,114.62,3,2,13.3,3.49,7.6,200244.69
259,172.19,2,1,2.8,12.83,9.2,263697.05
260,188.73,3,2,15.4,11.87,7.2,281395.84
261,103.65,1,3,21.4,10.24,7.6,158761.81
262,147.02,3,1,10.4,6.29,4.2,206269.48
263,50.0,3,4,11.7,11.17,5.5,166139.0
264,98.78,4,3,45.4,5.15,4.3,170940.49
265,137.37,3,3,28.2,9.38,7.9,241803.03
266,87.61,3,4,36.8,7.04,7.5,194646.16
267,231.62,6,1,25.2,12.98,7.5,286318.4
268,78.49,1,1,1.7,20.29,5.7,113683.25
269,128.0,4,3,2.4,3.83,5.5,290895.2
270,156.54,6,1,11.2,8.28,7.3,327646.63
271,222.06,5,2,4.2,28.09,6.0,307961.87
272,78.21,1,4,9.7,6.61,5.5,168339.15
273,208.16,1,2,7.5,6.54,6.2,250572.13
274,150.51,5,1,12.0,16.07,6.0,254626.86
275,100.92,3,3,20.6,8.59,5.7,197950.02
276,173.11,6,4,18.9,9.66,5.2,256837.02
277,159.95,2,1,11.0,21.39,7.7,223386.76
278,119.99,4,1,25.9,12.58,9.3,240047.73
279,153.49,2,3,8.5,7.08,6.9,262942.86
280,130.73,5,3,34.1,16.49,7.3,204198.61
281,155.68,1,2,1.1,7.33,7.8,217969.91
282,183.11,1,4,46.4,6.64,7.5,186913.59
283,229.3,4,4,15.9,14.57,5.7,367595.11
284,88.11,1,3,7.2,9.36,9.6,180814.19
285,256.65,1,2,3.3,14.33,5.9,354804.04
286,52.4,4,4,9.8,24.25,8.0,207418.21
287,142.41,6,3,3.2,2.97,7.8,285379.66
288,179.42,6,1,2.7,6.74,4.1,276558.32
289,164.05,4,4,14.4,7.64,6.5,297094.9
290,118.87,5,2,11.1,3.26,7.1,212642.22
291,139.59,1,2,16.6,8.22,7.2,190854.12
292,125.35,1,2,39.8,9.17,7.5,155552.8
293,120.53,5,1,11.4,1.47,8.1,305495.61
294,192.48,6,4,13.0,16.0,7.0,329092.34
295,167.85,3,4,1.4,5.8,7.5,285563.78
296,115.35,3,1,19.0,8.54,6.9,183533.91
297,194.98,3,4,7.7,15.41,5.5,304893.4
298,165.36,6,1,50.0,4.23,7.0,246210.49
299,190.64,6,1,26.0,8.72,8.1,298206.19
300,181.48,5,1,11.1,3.69,8.7,285543.46
301,108.55,1,2,2.0,8.49,7.8,162796.53
302,121.99,5,4,29.4,7.29,9.0,237328.98
303,187.36,5,1,24.1,12.18,7.6,260772.24
304,180.52,6,4,3.1,7.8,8.3,338086.35
305,148.95,3,2,5.2,3.5,8.4,258146.48
306,155.87,2,1,23.7,2.91,6.7,216608.83
307,213.88,1,3,3.1,2.78,8.1,283352.62
308,120.42,6,2,37.5,8.07,5.6,261791.69
309,177.35,3,3,8.3,8.79,7.5,305053.98
310,139.89,2,4,1.4,7.91,7.9,250620.24
311,139.12,2,4,25.4,10.11,8.6,234399.86
312,204.94,6,2,7.0,11.67,8.2,322303.81
313,191.27,4,4,11.2,5.83,8.6,231245.9
314,190.68,1,3,1.8,4.48,6.9,271597.59
315,215.27,2,1,0.0,11.05,6.5,280818.04
316,151.05,6,1,15.2,11.53,6.6,222663.29
317,184.1,6,1,10.9,5.76,7.4,327477.11
318,134.49,3,2,13.5,9.7,4.3,205202.45
319,166.21,4,4,23.7,6.37,9.0,301383.97
320,143.49,1,3,15.6,4.34,7.1,215302.14
321,154.85,5,4,2.9,14.4,6.4,325244.2
322,179.76,3,4,6.7,19.72,3.2,254305.66
323,109.09,2,4,35.4,6.67,6.9,212563.33
324,254.62,2,1,22.0,10.85,6.7,314213.63
325,99.7,3,3,12.2,9.4,5.7,179404.09
326,89.29,6,3,4.4,2.25,6.0,243057.46
327,207.91,2,4,5.4,15.0,7.0,298631.43
328,189.58,4,1,19.7,9.71,6.1,253468.5
329,181.21,1,1,28.6,18.93,7.9,188221.73
330,181.42,4,3,16.7,5.7,5.9,323274.42
331,149.39,2,1,24.9,7.82,7.2,198791.58
332,105.14,5,1,21.8,4.32,8.8,209963.27
333,153.79,1,1,2.4,8.14,6.9,196193.86
334,116.14,1,2,8.3,7.6,7.5,234041.71
335,198.76,3,4,2.5,1.79,7.4,319333.43
336,142.65,3,3,4.0,23.15,7.0,193312.18
337,108.73,5,3,30.5,3.56,6.9,196570.82
338,133.93,6,2,9.6,10.93,6.1,249761.59
339,170.65,1,4,11.5,9.6,7.2,242099.64
340,121.81,5,3,2.9,17.97,6.6,269818.57
341,108.89,3,1,5.6,19.51,9.3,210610.71
342,162.18,3,3,3.9,3.96,8.2,283802.91
343,162.25,1,1,3.5,4.71,4.8,206217.5
344,124.65,4,2,15.2,12.09,4.9,222122.21
345,126.45,2,1,4.5,4.48,6.8,174741.54
346,161.6,3,3,15.0,24.75,6.4,265758.01
347,77.6,6,3,0.9,10.47,6.7,259805.53
348,79.63,6,3,2.3,15.54,8.0,261027.2
349,114.08,3,2,4.8,4.46,7.5,205207.69
350,139.33,4,2,13.6,15.51,7.5,264134.34
351,165.55,4,4,16.9,2.82,9.2,291685.94
352,223.77,5,3,8.8,8.92,4.9,300367.8
353,192.88,6,1,8.9,8.73,7.2,312537.98
354,142.0,5,2,19.3,18.16,6.1,232137.44
355,149.05,6,3,0.2,5.05,9.2,289647.28
356,99.87,2,3,6.3,23.42,3.7,141334.3
357,149.07,2,2,25.6,12.49,3.8,169179.1
358,135.57,1,4,13.9,10.07,7.5,195845.54
359,166.14,5,2,6.2,12.55,8.7,278833.27
360,108.64,3,2,35.4,7.35,8.2,165864.44
361,175.97,5,1,22.2,2.4,5.8,258539.88
362,226.64,3,1,4.6,3.73,9.3,354041.02
363,144.56,4,4,15.5,11.54,5.2,273599.84
364,170.09,5,3,13.6,4.72,9.0,279996.23
365,184.51,4,2,7.7,5.91,5.4,312148.24
366,129.94,2,4,6.9,15.06,6.5,176200.27
367,161.2,2,1,6.3,9.45,8.0,290273.79
368,150.63,1,2,14.4,17.67,4.8,203136.37
369,154.88,5,3,8.8,5.88,9.2,287369.95
370,111.35,4,1,26.7,7.35,6.5,207600.26
371,151.23,3,1,16.6,14.61,7.2,185884.86
372,174.9,2,1,1.1,10.27,8.7,253532.87
373,222.56,2,4,15.3,24.54,5.8,257869.71
374,197.96,3,3,4.7,3.78,8.6,287815.98
375,257.66,4,2,13.5,3.98,9.5,345027.32
376,111.63,4,4,17.1,9.16,6.0,220704.45
377,193.62,5,4,3.9,10.28,9.1,302108.33
378,159.17,5,4,9.2,4.14,4.4,271224.11
379,259.49,6,1,3.2,13.52,7.6,312641.63
380,109.59,6,3,0.8,11.07,5.2,282839.46
381,108.01,1,4,7.1,5.35,8.4,195551.1
382,120.03,2,2,6.8,8.97,8.3,186780.07
383,50.0,5,3,50.0,13.28,10.0,182614.86
384,123.71,4,2,8.9,8.94,9.1,257042.29
385,112.04,3,3,6.1,3.87,6.8,253433.0
386,157.52,4,2,13.0,1.87,5.4,290506.57
387,167.09,2,1,1.4,3.47,7.8,303891.81
388,243.81,6,4,48.9,12.19,6.9,331046.73
389,197.52,4,2,15.1,8.56,9.3,258341.69
390,121.15,1,3,21.1,6.14,3.8,182121.37
391,105.08,2,4,2.8,5.37,10.0,224422.24
392,174.6,6,4,7.9,5.19,7.8,307795.11
393,83.99,3,3,8.2,6.22,5.8,202411.29
394,241.57,6,2,25.9,7.13,8.1,384254.4
395,208.97,1,1,0.0,7.98,8.9,248274.94
396,126.54,2,1,5.4,4.13,7.2,240672.79
397,64.34,3,2,50.0,4.04,4.4,117268.69
398,217.69,1,4,9.7,7.7,6.6,279887.18
399,144.27,6,4,7.2,9.13,8.6,324810.15
400,211.89,1,4,1.9,3.1,7.7,293280.92
401,70.28,2,4,50.0,13.5,6.8,109416.35
402,120.03,5,2,0.3,6.51,9.0,297788.01
403,150.26,1,4,20.0,11.61,8.1,208611.61
404,152.35,1,3,22.0,12.3,8.2,227190.6
405,127.5,6,4,4.2,8.7,6.4,255379.7
406,181.14,6,1,16.7,6.45,6.2,264090.65
407,96.62,3,4,1.5,13.98,4.5,222808.92
408,142.88,6,2,4.5,10.81,6.6,290859.11
409,156.01,4,1,23.3,9.55,8.4,233739.77
410,175.72,2,2,30.0,5.28,6.7,241783.65
411,185.58,2,2,14.1,10.73,7.7,227311.44
412,93.77,5,1,10.6,12.68,8.7,219779.59
413,73.29,5,2,2.6,4.49,7.6,232811.22
414,213.88,2,2,1.0,15.4,7.7,267470.42
415,166.62,5,4,1.9,11.42,5.0,273468.07
416,112.58,3,3,3.9,9.94,6.5,225468.7
417,227.56,6,2,6.3,6.75,9.6,368182.97
418,155.78,2,2,7.2,18.38,7.2,206373.1
419,208.96,5,2,6.4,4.81,9.8,309686.05
420,153.38,2,4,4.1,8.68,5.9,251125.08
421,253.04,4,3,10.7,6.79,7.4,338471.72
422,237.77,1,1,26.2,3.2,6.4,237371.71
423,137.55,6,4,4.9,4.53,7.9,316877.46
424,198.58,2,4,42.8,12.14,8.3,294244.91
425,182.27,1,3,31.0,21.22,7.9,199312.92
426,218.43,5,3,2.6,12.5,8.6,396564.43
427,101.75,1,4,23.1,10.83,7.0,213823.97
428,184.3,6,1,12.8,21.8,6.7,248414.59
429,202.92,2,4,12.5,4.24,4.4,283385.76
430,62.06,4,3,7.4,5.16,8.0,256210.55
431,90.84,5,1,10.4,9.63,7.3,211678.23
432,50.0,2,3,7.6,8.76,6.9,159970.91
433,136.53,6,1,11.6,8.88,6.7,219413.75
434,185.88,5,2,14.8,6.02,6.9,285519.43
435,225.12,3,3,16.8,8.96,6.6,320450.93
436,153.7,1,3,11.4,2.46,6.2,289210.72
437,231.43,6,4,19.2,17.58,7.4,340794.93
438,80.99,3,3,2.3,9.7,7.7,172364.71
439,64.83,2,3,3.6,12.81,5.8,139136.24
440,147.22,4,2,25.6,9.3,6.4,234716.61
441,169.2,5,3,5.8,13.29,6.7,325706.49
442,148.37,1,2,0.3,8.3,7.0,235914.9
443,50.0,5,2,2.5,15.77,6.8,193515.4
444,145.54,2,2,3.8,4.36,8.0,275803.04
445,84.78,5,2,47.3,14.8,4.5,147107.02
446,183.48,1,1,12.8,14.79,4.8,203762.14
447,168.33,2,4,40.5,2.25,7.3,233321.04
448,103.01,5,1,12.8,4.97,6.1,218996.91
449,124.31,4,3,9.8,11.65,8.3,223024.06
450,97.04,6,1,5.6,8.94,8.8,239353.02
451,146.87,2,1,14.0,7.19,7.4,215272.61
452,197.76,6,3,2.2,3.13,5.4,333770.95
453,100.71,2,3,34.3,13.64,8.6,169150.15
454,175.2,4,3,26.5,7.78,7.3,285688.78
455,123.49,6,1,5.7,8.05,4.8,281874.57
456,110.36,3,1,45.8,8.94,4.9,174322.14
457,144.65,1,3,26.2,9.48,9.3,228105.58
458,98.24,3,4,16.5,4.62,9.0,203658.66
459,122.32,5,4,1.9,8.15,3.2,251325.32
460,90.11,4,2,9.8,11.46,5.0,188896.36
461,248.24,3,3,10.6,4.61,8.7,324519.16
462,151.76,2,2,4.0,16.34,7.0,227137.16
463,115.01,5,4,1.3,14.33,8.1,224746.24
464,160.7,5,2,22.5,6.54,6.9,318673.51
465,144.38,3,3,2.0,6.88,8.0,296348.25
466,138.95,3,3,13.5,2.57,7.0,264618.45
467,180.71,4,3,41.3,11.08,6.3,251209.73
468,187.88,1,1,31.3,10.22,8.6,243070.25
469,123.47,3,2,4.9,5.6,7.3,250361.34
470,121.21,3,4,28.6,15.97,8.0,234699.75
471,136.25,6,4,0.0,8.3,7.2,306753.26
472,50.0,2,4,0.3,3.11,6.3,217941.03
473,74.24,6,1,13.8,5.57,9.4,258488.33
474,218.34,6,1,6.8,2.77,7.5,367812.85
475,232.25,5,3,7.3,30.0,6.5,344216.85
476,137.55,1,4,12.5,2.76,8.9,231512.24
477,178.83,2,1,3.2,7.59,5.0,211782.64
478,165.56,4,3,3.6,5.14,10.0,318528.41
479,300.0,4,4,9.9,1.95,6.7,407480.5
480,205.98,3,2,21.1,18.76,5.1,241813.76
481,143.6,3,3,14.5,4.67,9.9,297612.69
482,102.22,4,1,5.3,12.24,6.3,206932.92
483,69.68,3,1,8.4,3.77,7.4,186364.54
484,160.17,1,3,2.8,12.0,8.1,228979.06
485,112.18,6,3,1.2,1.77,8.8,325252.85
486,78.89,3,1,22.9,19.45,7.4,153630.85
487,117.67,5,2,4.6,6.98,6.0,272600.39
488,95.92,3,4,2.9,3.7,7.3,226208.86
489,234.36,2,2,17.6,17.17,6.4,302220.26
490,194.08,1,3,14.4,5.66,7.4,309446.72
491,149.6,2,2,15.0,2.87,9.4,266835.71
492,224.0,2,1,3.9,9.09,8.1,264492.45
493,153.87,5,3,4.0,6.07,7.3,274579.5
494,106.94,1,4,3.7,8.43,8.1,202582.76
495,226.16,1,1,2.9,11.8,8.2,255274.66
496,176.95,1,1,16.0,6.34,5.4,213270.11
497,98.14,1,4,28.3,13.26,7.1,174407.97
498,140.48,1,4,19.3,12.23,10.0,230081.78
499,106.22,5,2,23.6,1.0,8.8,253538.53
500,80.86,3,3,7.8,15.8,6.2,177146.52
